央视频道,#genre#
CCTV1,http://119.51.64.185:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://119.51.64.185:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://119.51.64.185:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
卫视频道,#genre#
上海卫视,http://119.51.64.185:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://119.51.64.185:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://119.51.64.185:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://119.51.64.185:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://119.51.64.185:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://119.51.64.185:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://119.51.64.185:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
其他频道,#genre#
吉视都市,http://119.51.64.185:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
